Neurobiologist ^np+nom++??+=Neurobiologist.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
stop ^vb++++=stop
for ^in++++=for
feminine ^jj+atrb+++=feminine
hygiene ^nn++++=hygiene
supplies ^nns++++=supplies.
. ^zz++++=EXTRAWORD
Actually ^rb+cnj+++=Actually,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
avoid ^vb++++=avoid
surprises ^nns++++=surprises,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wear ^nn++++=wear
them ^pp3o+pp3+++=them
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Shamy ^np+++??+=Shamy?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
t ^zz++++=t
do ^vb+do+vrb++=do
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
recently ^rb+cnj+++=recently,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+vprv++xvbnx+=learned
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
refer ^vb++++=refer
to ^in+ppvb+++=to
us ^pp1o+pp1+++=us
as ^ql++++=as
Shamy ^np+++??+=Shamy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
everybody ^pn++++=everybody
else ^rb+cnj+++=else
s ^zz++++=s.
. ^zz++++=EXTRAWORD
Subject ^nn++++=Subject
to ^in++++=to
entropy ^nn++++=entropy,
, ^zz++++=EXTRAWORD
decay ^nn++++=decay
and ^cc++++=and
eventual ^jj+atrb+++=eventual
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you
for ^in++++=for
asking ^nn++++=asking.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
is ^vbz+bez+vrb++=is
she ^pp3a+pp3+++=she
not ^xnot++not++=not
taking ^vbg+++xvbg+=taking
our ^pp$+pp1+++=our
order ^to++++=order?
? ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assumed ^vbd+vprv+tht0+xvbnx+=assumed
an ^at++++=an
establishment ^nn+nom+++=establishment
called ^vbd+++xvbn+=called
the ^ati++++=the
Cheesecake ^np++++=Cheesecake
Factory ^nn++++=Factory
would ^md+prd+++=would
function ^nn+nom+++=function
more ^rbr++++=more
efficiently ^rb++++=efficiently.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
right ^nn++++=right,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
a ^at++++=a
festival ^nn+nom+++=festival
of ^in++++=of
humdrum ^jj+atrb+++=humdrum
chitchat ^nn+++??+=chitchat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
doubt ^nn++++=doubt
you ^pp2+pp2+++=you
d ^zz++++=d
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon
tells ^vbz++++=tells
me ^pp1o+pp1+++=me
you ^pp2+pp2+++=you
only ^rb+down+++=only
have ^vb+hv+vrb++=have
a ^at++++=a
master ^npt++++=master
s ^zz++++=s
degree ^nn++++=degree.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
curious ^jj++++=curious
as ^in++++=as
to ^in"++++=to
why ^wrb+who+++=why
we ^pp1a+pp1+++=we
re ^in++++=re
not ^xnot++not++=not
eating ^nvbg+++xvbg+=eating
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
very ^ap+amp+++=very
impressive ^jj++++=impressive,
, ^zz++++=EXTRAWORD
for ^in++++=for
theoretical ^jj+atrb+++=theoretical
work ^nn++++=work.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
I ^pp1a+pp1+++=I
being ^vbg+beg++xvbg+=being
too ^ql++++=too
subtle ^jj++++=subtle?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
meant ^vbd+vprv++xvbnx+=meant
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
real ^jj++++=real-world
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
applications ^nns+nom+++=applications
of ^in++++=of
neurobiology ^nn+++??+=neurobiology,
, ^zz++++=EXTRAWORD
theoretical ^jj+atrb+++=theoretical
physics ^nn++++=physics
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
s ^zz++++=s
the ^ati++++=the
word ^nn++++=word
I ^pp1a+pp1+++=I
m ^zz++++=m
looking ^vwbg+++xvbg+=looking
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
Hmm ^np+++??+=Hmm,
, ^zz++++=EXTRAWORD
cute ^jj++++=cute.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
stating ^vwbg+vpub+tht0+xvbg+=stating
it ^pp3+it+++=it
outright ^rb++++=outright.
. ^zz++++=EXTRAWORD
Babinski ^np+++??+=Babinski
eats ^vbz++++=eats
Dirac ^np+++??+=Dirac
for ^in++++=for
breakfast ^nn++++=breakfast
and ^cc++++=and
defecates ^nns+nom+++=defecates
Clarke ^np++++=Clarke-Maxwell.
- ^zz++++=EXTRAWORD
maxwell ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Absolutely ^rb+amp+++=Absolutely
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
colleagues ^nns++++=colleagues
and ^cc++++=and
I ^pp1a+pp1+++=I
are ^vb+ber+vrb++=are
mapping ^nn++++=mapping
the ^ati++++=the
neurological ^jj+atrb+++=neurological
substrates ^nns+nom+++=substrates
that ^tht+rel+obj++=that
subserve ^nn+++??+=subserve
global ^jj+atrb+++=global
information ^nn+nom+++=information
processing ^vwbg+++xvbg+=processing,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
for ^in++++=for
all ^abn++++=all
cognitive ^jj+atrb+++=cognitive
reasoning ^nvbg+++xvbg+=reasoning,
, ^zz++++=EXTRAWORD
including ^in++++=including
scientific ^jj+atrb+++=scientific
inquiry ^nn++++=inquiry,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
my ^pp$+pp1+++=my
research ^nn++++=research
ipso ^rb++++=ipso
facto ^rb++++=facto
prior ^jj++++=prior
in ^in++++=in
the ^ati++++=the
ordo ^nn+++??+=ordo
cognoscendi ^nn+++??+=cognoscendi.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
means ^nns++++=means
it ^pp3+it+++=it
s ^zz++++=s
better ^jjr++++=better
than ^in++++=than
his ^pp$+pp3+++=his
research ^nn++++=research,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
extension ^nn++++=extension,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
yours ^pp$$++++=yours.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
m ^zz++++=m
successful ^jj++++=successful,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to
map ^vb++++=map
and ^cc++++=and
reproduce ^vb++++=reproduce
your ^pp$+pp2+++=your
thought ^nn+++xvbn+=thought
processes ^nns+nom+++=processes
in ^in++++=in
deriving ^xvbg+++xvbg+=deriving
a ^at++++=a
grand ^jj+atrb+++=grand
unified ^jj+atrb++xvbn+=unified
theory ^nn++++=theory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
subsume ^nn+++??+=subsume
your ^pp$+pp2+++=your
conclusions ^nns++++=conclusions
under ^in++++=under
my ^pp$+pp1+++=my
paradigm ^nn++++=paradigm.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
reached ^vprf+++xvbn+=reached
an ^at++++=an
impasse ^nn++++=impasse.
. ^zz++++=EXTRAWORD
Seconded ^j+++xvbn+=Seconded.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
day ^nn++++=day,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon
Cooper ^np++++=Cooper.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^nn++++=mother
thinks ^vbz+vprv+tht0++=thinks
you ^pp2+pp2+++=you
might ^md+pos+++=might
be ^vb+be+aux++=be
losing ^vbg+++xvbgx+=losing
your ^pp$+pp2+++=your
mind ^nn++++=mind
over ^rp++++=over
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
neurobiologist ^nn+nom+++=neurobiologist,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
curious ^jj+pred+++=curious.
. ^zz++++=EXTRAWORD
Excellent ^jj+atrb+++=Excellent
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Touche ^np+++??+=Touche.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
agree ^vb+vpub+++=agree
to ^in++++=to
that ^dt+dem+++=that
only ^rb+down+++=only
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
ll ^nn+++??+=ll
stipulate ^nn+nom+++=stipulate
that ^cs+sub+++=that
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
of ^in++++=of
our ^pp$+pp1+++=our
difficulties ^nns++++=difficulties
were ^vbd+bed+aux++=were
caused ^vpsv++by+xvbnx+=caused
by ^in++++=by
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
being ^xvbg+++xvbg+=being
cast ^vbd+++xvbn+=cast
in ^in++++=in
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
bad ^jj+atrb+++=bad
girl ^nn++++=girl
oddly ^rb++++=oddly
titillating ^jj+++xvbg+=titillating.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
cats ^nns++++=cats.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
re ^in++++=re
the ^ati++++=the
epitome ^nn++++=epitome
of ^in++++=of
indifference ^nn+nom+++=indifference.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next!
! ^zz++++=EXTRAWORD
Next ^ap++++=Next!
! ^zz++++=EXTRAWORD
May ^md+pos+++=May
I ^pp1a+pp1+++=I
offer ^vb++++=offer
an ^at++++=an
observation ^nn+nom+++=observation?
? ^zz++++=EXTRAWORD
From ^in++++=From
a ^at++++=a
neurobiological ^jj+atrb+++=neurobiological
standpoint ^nn++++=standpoint,
, ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
be ^vb+be+vrb++=be
alone ^rb++++=alone
because ^cs+cos+++=because
your ^pp$+pp2+++=your
psychological ^jj+atrb+++=psychological
state ^nn++++=state
is ^vbz+bez+aux++=is
causing ^vbg+++xvbgx+=causing
an ^at++++=an
actual ^jj+atrb+++=actual
pheromone ^nn+++??+=pheromone-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
stink ^nn++++=stink
of ^in++++=of
desperation ^nn+nom+++=desperation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
that ^tht+vcmp+++=that
some ^dti++++=some
people ^nns++++=people
find ^vb+vprv+++=find
mates ^nns++++=mates
in ^in++++=in
social ^nn++++=social
gathering ^vwbg+++xvbg+=gathering
places ^nns++++=places
such ^abl++++=such
as ^ql++++=as
bars ^nns++++=bars
or ^cc++++=or
taverns ^nns++++=taverns.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
tried ^vbd+++xvbn+=tried
a ^at++++=a
bar ^nn++++=bar
or ^cc++++=or
tavern ^nn++++=tavern?
? ^zz++++=EXTRAWORD
That ^cs+sub+++=That
s ^zz++++=s
not ^xnot++not++=not
true ^jj++++=true
of ^in++++=of
all ^abn++++=all
bars ^nns++++=bars.
. ^zz++++=EXTRAWORD
Juice ^nn++++=Juice
bars ^nns++++=bars,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
rude ^jj+pred+++=rude.
. ^zz++++=EXTRAWORD
Cornucopia ^np+++??+=Cornucopia.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
mellifluous ^jj+atrb+++=mellifluous
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Agreed ^j+++xvbn+=Agreed.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
we ^pp1a+pp1+++=we
ll ^nn+++??+=ll
use ^nn++++=use
mellifluous ^jj+atrb+++=mellifluous
tomorrow ^nr+tm+++=tomorrow.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
request ^nn++++=request.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
like ^in++++=like
you ^pp2+pp2+++=you
to ^to++++=to
meet ^vbi++++=meet
my ^pp$+pp1+++=my
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Amy ^np+++??+=Amy
Farrah ^np+++??+=Farrah
Fowler ^np+++??+=Fowler.
. ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
a ^at++++=a
misunderstanding ^nn++++=misunderstanding
may ^md+pos+++=may
have ^vb+hv+aux++=have
occurred ^vprf+++xvbnx+=occurred
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
asked ^vbd+vsua+tht0+xvbnx+=asked
you ^pp2+pp2+++=you
to ^to++++=to
meet ^vbi++++=meet
my ^pp$+pp1+++=my
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
In ^in++++=In
what ^wdt+who+++=what
way ^nn++++=way
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
screwed ^vbd+++xvbn+=screwed?
? ^zz++++=EXTRAWORD
All ^abn++++=All
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
do ^vbi++++=do
is ^vbz+bez+aux++=is
present ^vb++++=present
you ^pp2+pp2+++=you
as ^ql++++=as
my ^pp$+pp1+++=my
boyfriend ^nn+++??+=boyfriend
to ^in++++=to
my ^pp$+pp1+++=my
mother ^nn++++=mother
so ^ql++++=so
she ^pp3a+pp3+++=she
ll ^nn+++??+=ll
be ^vb+be+aux++=be
satisfied ^jj++agls+xvbnx+=satisfied
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
m ^zz++++=m
in ^in++++=in
a ^at++++=a
relationship ^nn+nom+++=relationship.
. ^zz++++=EXTRAWORD
Precisely ^rb++++=Precisely.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
t ^zz++++=t
be ^vb+be+vrb++=be
absurd ^jj+pred+++=absurd.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
the ^ati++++=the
notion ^nn++++=notion
of ^in++++=of
romantic ^jj+atrb+++=romantic
love ^vb++++=love
to ^to+vcmp+++=to
be ^vbi++vrb++=be
an ^at++++=an
unnecessary ^jj++++=unnecessary
cultural ^jj++++=cultural
construct ^vb++++=construct
that ^dt+pdem+++=that
adds ^vbz+vpub+++=adds
no ^at++++=no
value ^nn++++=value
to ^in++++=to
human ^jj+atrb+++=human
relationships ^nns+nom+++=relationships.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+tht0++=trust
this ^dt+dem+++=this
clarification ^nn+nom+++=clarification
allows ^vbz++++=allows
us ^pp1o+pp1+++=us
to ^to++++=to
return ^vbi++++=return
to ^in++++=to
boy ^nn++++=boy-slash-friend-slash-girl-slash-friend
- ^zz++++=EXTRAWORD
slash ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
friend ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
slash ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
girl ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
slas ^nns+++??+=EXTRAWORD
status ^nn++++=status.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
please ^uh++++=please,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
re ^in++++=re
suffocating ^xvbg+++xvbg+=suffocating
