Agreed ^vbd+vpub++xvbn+=Agreed,
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
uh ^uh++++=uh
no ^at++++=no
we ^pp1a+pp1+++=we
don ^npt++++=don
t ^zz++++=t
live ^vb++++=live
together ^nn+nom+++=together
um ^uh++++=um
we ^pp1a+pp1+++=we
live ^vb++++=live
together ^nn+nom+++=together
but ^cc++++=but
in ^in++++=in
separate ^jj+atrb+++=separate,
, ^zz++++=EXTRAWORD
heterosexual ^jj+atrb+++=heterosexual
bedrooms ^nns++++=bedrooms.
. ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
welcome ^jj++++=welcome
to ^to+jcmp+++=to
the ^ati++++=the
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
great ^jj++++=great.
. ^zz++++=EXTRAWORD
Great ^jj++++=Great.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
bye ^rb++++=bye.
. ^zz++++=EXTRAWORD
Bye ^rb++++=Bye.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
invited ^vprf+++xvbnx+=invited
her ^pp$+pp3+++=her
for ^in++++=for
lunch ^nn++++=lunch?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
already ^rb++++=already
watched ^vbd+++xvbn+=watched
the ^ati++++=the
Season ^nn++++=Season
Two ^cd++++=Two
Dvds ^np+++??+=DVDs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
we ^pp1a+pp1+++=we
should ^md+nec+++=should
be ^vb+be+vrb++=be
good ^jj+atrb+++=good
neighbours ^nns++++=neighbours,
, ^zz++++=EXTRAWORD
invite ^vb++++=invite
her ^pp$+pp3+++=her
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
make ^vb++++=make
her ^pp3o+pp3+++=her
feel ^vb+vprv+++=feel
welcome ^nn++++=welcome.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
wrong ^jj+pred+++=wrong
of ^in++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
widen ^vb++++=widen
our ^pp$+pp1+++=our
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
ve ^vb+++??+=ve
never ^rb++++=never
met ^vbd+++xvbn+=met
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
going ^md"++pmd"++=going
to ^md+prd+++=to
invite ^vb++++=invite
her ^pp$+pp3+++=her
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ll ^nn+++??+=ll
have ^vb+hv+vrb++=have
a ^at++++=a
nice ^jj+atrb+++=nice
meal ^nn++++=meal
and ^cc++++=and
chat ^nn++++=chat.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
it ^pp3+it+++=it
s ^zz++++=s
not ^xnot++not++=not
difficult ^jj++++=difficult,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
just ^rb+emph+++=just
listen ^vb++++=listen
to ^to++++=to
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says
and ^cc++++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
something ^pn++++=something
appropriate ^jj++++=appropriate
in ^in++++=in
response ^nn++++=response.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
Anyway ^rb+cnj+++=Anyway,
, ^zz++++=EXTRAWORD
um ^uh++++=um.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
brought ^vbd+++xvbn+=brought
home ^nr++++=home
Indian ^jj+atrb+++=Indian
food ^nn++++=food.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
um ^uh++++=um.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
moving ^vbg+++xvbg+=moving
can ^md+pos+++=can
be ^vb+be+vrb++=be
stressful ^jj+pred+++=stressful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
m ^zz++++=m
undergoing ^vwbg+++xvbg+=undergoing
stress ^nn++++=stress,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
good ^jj+atrb+++=good
food ^nn++++=food
and ^cc++++=and
company ^nn++++=company
can ^md+pos+++=can
have ^vb+hv+vrb++=have
a ^at++++=a
comforting ^jj+atrb+++=comforting
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
curry ^nn++++=curry
is ^vbz+bez+vrb++=is
a ^at++++=a
natural ^jj++++=natural
laxative ^jj++++=laxative,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
have ^md"++pmd"++=have
to ^md+nec+++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
a ^at++++=a
clean ^jj+atrb+++=clean
colon ^nn++++=colon
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
one ^cd1++++=one
less ^rbr++++=less
thing ^nn++++=thing
to ^to++++=to
worry ^vbi+vprv+++=worry
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
Great ^jj++++=Great.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
make ^vb++++=make
yourself ^ppl+pp2+++=yourself
at ^in++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
very ^ql+amp+++=very
welcome ^vb++++=welcome.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
board ^nn++++=board.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
like ^in++++=like
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
board ^nn++++=board.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least
I ^pp1a+pp1+++=I
didn ^nn+++??+=didn
t ^zz++++=t
have ^md"++pmd"++=have
to ^md+nec+++=to
invent ^vb++++=invent
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
dimensions ^nns++++=dimensions
just ^rb+emph+++=just
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
math ^nn+++??+=math
come ^vprf+++xvbn+=come
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
In ^in++++=In
what ^wdt+who+++=what
universe ^nn++++=universe?
? ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
we ^pp1a+pp1+++=we
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
sit ^vb++++=sit
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
sit ^vb++++=sit!
! ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
nice ^jj+pred+++=nice.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
don ^npt++++=don
t ^zz++++=t
have ^vb+hv+vrb++=have
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
company ^nn++++=company
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes
I ^pp1a+pp1+++=I
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
like ^in++++=like
regular ^jj+atrb+++=regular
boggle ^nn+++??+=boggle
but ^cc++++=but,
, ^zz++++=EXTRAWORD
in ^in++++=in
Klingon ^np+++??+=Klingon.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
probably ^rb++++=probably
enough ^qlp++++=enough
about ^rb++++=about
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
us ^pp1o+pp1+++=us
about ^in++++=about
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
what ^wdt+who+whcl++=what
Sheldon ^np++++=Sheldon
s ^zz++++=s
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
Sagittarius ^np+++??+=Sagittarius
wouldn ^nn+++??+=wouldn
t ^zz++++=t
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
our ^pp$+pp1+++=our
first ^od++++=first
guess ^vb++++=guess.
. ^zz++++=EXTRAWORD
Wu ^np+++??+=Wu-uh,
- ^zz++++=EXTRAWORD
uh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
some ^dti++++=some
sort ^nn++++=sort
of ^in++++=of
a ^at++++=a
job ^nn++++=job?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
cheesecake ^np++++=cheesecake.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
eat ^vb++++=eat
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
s ^zz++++=s
a ^at++++=a
good ^jj+atrb+++=good
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
s ^zz++++=s
based ^vwbn+++xvbn+=based
on ^in++++=on
your ^pp$+pp2+++=your
life ^nn++++=life?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
a ^at++++=a
movie ^nn++++=movie
I ^pp1a+pp1+++=I
would ^md+prd+++=would
go ^vb++++=go
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
it ^pp3+it+++=it
sounds ^vbz++++=sounds
wonderful ^jj++++=wonderful.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
t ^zz++++=t.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
I ^pp1a+pp1+++=I
say ^vb+vpub+tht0++=say
something ^pn++++=something?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
like ^in++++=like
I ^pp1a+pp1+++=I
should ^md+nec+++=should
say ^vb+vpub+tht0++=say
something ^pn++++=something.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
not ^xnot++not++=not
crazy ^jj++++=crazy
it ^pp3+it+++=it
s ^zz++++=s,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
a ^at++++=a
paradox ^nn++++=paradox.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
paradoxes ^nns++++=paradoxes
are ^vb+ber+vrb++=are
part ^nn++++=part
of ^in++++=of
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
think ^vb+vprv+++=think
about ^in++++=about
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
look ^vb++++=look
at ^rb++++=at
Huygens ^np++++=Huygens,
, ^zz++++=EXTRAWORD
light ^jj++++=light
is ^vbz+bez+vrb++=is
a ^at++++=a
wave ^nn++++=wave,
, ^zz++++=EXTRAWORD
as ^in++++=as
confirmed ^nn++++=confirmed
by ^in++++=by
the ^ati++++=the
double ^nn++++=double
slit ^vbd+++xvbn+=slit
experiments ^nns+nom+++=experiments,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
along ^in++++=along
comes ^vbz++++=comes
Albert ^np++++=Albert
Einstein ^np++++=Einstein
and ^cc++++=and
discovers ^nns+nom+++=discovers
that ^tht+vcmp+++=that
light ^jj++++=light
behaves ^vbz++++=behaves
like ^in++++=like
particles ^nns++++=particles
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
didn ^nn+++??+=didn
t ^zz++++=t
make ^vb++++=make
it ^pp3+it+++=it
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
shower ^nn++++=shower
works ^nns++++=works.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
right ^jj++++=right
down ^rp++++=down
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
so ^ql++++=so?
? ^zz++++=EXTRAWORD
That ^cs+sub+++=That
s ^zz++++=s
not ^xnot++not++=not
true ^jj++++=true,
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember
at ^in++++=at
Thanksgiving ^np+++??+=Thanksgiving
my ^pp$+pp1+++=my
grandmother ^nn+nom+++=grandmother
with ^in++++=with
Alzheimer ^np+nom++??+=Alzheimer
s ^zz++++=s
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
episode ^nn++++=episode.
. ^zz++++=EXTRAWORD
The ^ati++++=The
worst ^jjt+atrb+++=worst
part ^nn++++=part
was ^vbd+bedz+aux++=was
watching ^vbg+++xvbgx+=watching
her ^pp3o+pp3+++=her
carve ^vb++++=carve
that ^dt+dem+++=that
turkey ^np++++=turkey.
. ^zz++++=EXTRAWORD
Excuse ^nn++++=Excuse
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
have ^vbi++++=have
sex ^nn++++=sex
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
makes ^vbz++++=makes
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
she ^pp3a+pp3+++=she
wouldn ^nn+++??+=wouldn
t ^zz++++=t
have ^vb+hv+vrb++=have
sex ^nn++++=sex
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
a ^at++++=a
male ^jj++++=male
and ^cc++++=and
she ^pp3a+pp3+++=she
s ^zz++++=s
a ^at++++=a
female ^nn++++=female?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
engage ^vb++++=engage
in ^in++++=in
hypotheticals ^nns+nom+++=hypotheticals
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
just ^rb+emph+++=just
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
good ^jj+atrb+++=good
neighbour ^nn++++=neighbour.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
s ^zz++++=s
not ^xnot++not++=not
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
a ^at++++=a
carnal ^jj+atrb+++=carnal
relationship ^nn+nom+++=relationship
were ^vbd+bed+aux++=were
to ^to++++=to
develop ^vbi++++=develop
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
wouldn ^nn+++??+=wouldn
t ^zz++++=t
participate ^nn+nom+++=participate.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However
briefly ^rb++++=briefly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
Darth ^np+++??+=Darth
Vader ^np+++??+=Vader
shampoo ^nn+++??+=shampoo.
. ^zz++++=EXTRAWORD
( ^zz++++=(There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
knock ^nn++++=knock
on ^in++++=on
the ^ati++++=the
door ^nn++++=door.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Luke ^np++++=Luke
Skywalker ^np+nom++??+=Skywalker
s ^zz++++=s
the ^ati++++=the
conditioner ^nn+nom+++=conditioner.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
what ^wdt+who+whcl++=what?
? ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
good ^jj+atrb+++=good
time ^nn++++=time.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
great ^jj++++=great,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
guys ^nns++++=guys
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
just ^rb+emph+++=just
not ^xnot++not++=not
a ^at++++=a
good ^jj+atrb+++=good
time ^nn++++=time.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
s ^zz++++=s
not ^xnot++not++=not
a ^at++++=a
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
s ^zz++++=s
just ^rb+emph+++=just
a ^at++++=a
new ^jj+atrb+++=new
neighbour ^nn++++=neighbour.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh-huh.
- ^zz++++=EXTRAWORD
huh ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
not ^xnot++not++=not
anticipating ^vbg+vprv++xvbg+=anticipating
coitus ^nn++++=coitus.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
we ^pp1a+pp1+++=we
please ^uh++++=please
stop ^vb++++=stop
saying ^vbg+++xvbg+=saying
coitus ^nn++++=coitus?
? ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
show ^vb+vprv+tht0++=show
you ^pp2+pp2+++=you
the ^ati++++=the
trick ^nn++++=trick
with ^in++++=with
the ^ati++++=the
shower ^nn++++=shower.
. ^zz++++=EXTRAWORD
Save ^vb++++=Save
it ^pp3+it+++=it
for ^in++++=for
