Not ^xnot++not++=Not
has ^md"++pmd"++=has
to ^md+nec+++=to
stop ^vb++++=stop.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
s ^zz++++=s
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
hard ^jj++++=hard
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
ve ^vb+++??+=ve
seen ^vbd+vprv++xvbn+=seen
and ^cc+phrs+++=and
talked ^vbd+++xvbn+=talked
to ^in++++=to
you ^pp2+pp2+++=you
more ^rbr++++=more
in ^in++++=in
the ^ati++++=the
two ^cd++++=two
days ^nns++++=days
we ^pp1a+pp1+++=we
ve ^nn+++??+=ve
been ^vprf+ben+aux+xvbn+=been
broken ^vpsv++agls+xvbnx+=broken
up ^rp++++=up
than ^in++++=than
in ^in++++=in
the ^ati++++=the
last ^ap++++=last
two ^cd++++=two
months ^nns++++=months
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
didn ^nn+++??+=didn
t ^zz++++=t
do ^vb+do+vrb++=do
your ^pp$+pp2+++=your
compulsive ^jj++++=compulsive
knocking ^jj+++xvbg+=knocking
ritual ^jjb++++=ritual
so ^ql++++=so
I ^pp1a+pp1+++=I
would ^md+prd+++=would
open ^vb++++=open
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
give ^vb++++=give
me ^pp1o+pp1+++=me
the ^ati++++=the
box ^nn++++=box.
. ^zz++++=EXTRAWORD
Fine ^jj++++=Fine.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
old ^jj+atrb+++=old
scarf ^nn++++=scarf.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
mean ^vb+vprv+++=mean
the ^ati++++=the
night ^nn++++=night
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
ice ^nn++++=ice-skating,
- ^zz++++=EXTRAWORD
skating ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
rail ^nn++++=rail
googling ^nn+nom+++=googling
the ^ati++++=the
symptoms ^nns++++=symptoms
of ^in++++=of
hypothermia ^nn+++??+=hypothermia?
? ^zz++++=EXTRAWORD
Whose ^whp+who+++=Whose
bra ^nn++++=bra
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
Penny ^nn++++=Penny
s ^zz++++=s.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good-bye.
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Anybody ^pn++++=Anybody
can ^md+pos+++=can
make ^vb++++=make
a ^at++++=a
mistake ^nn++++=mistake
in ^in++++=in
a ^at++++=a
weak ^jj+atrb+++=weak
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
Leonard ^np++++=Leonard
s ^zz++++=s
not ^xnot++not++=not
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
because ^cs+cos+++=because
you ^pp2+pp2+++=you
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
more ^rbr++++=more
confident ^jj++++=confident.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
gonna ^md+prd+++0=gonna
kill ^vb++++=kill
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
dare ^vb++++=dare
you ^pp2+pp2+++=you
go ^vb++++=go
on ^in++++=on
the ^ati++++=the
Internet ^np+++??+=Internet
and ^cc++++=and
say ^vb+vpub+++=say
mean ^jj+atrb+++=mean
things ^nns++++=things
about ^rb++++=about
me ^pp1o+pp1+++=me
and ^cc++++=and
compare ^vb++++=compare
my ^pp$+pp1+++=my
genitalia ^nn+++??+=genitalia
to ^in++++=to
part ^nn++++=part
of ^in++++=of
Czechoslovakia ^np++++=Czechoslovakia?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
thinking ^vbg+++xvbgx+=thinking,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
take ^vb++++=take
the ^ati++++=the
video ^nn+++??+=video
down ^rp++++=down
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^ap+down+++=only
watched ^jj+++xvbn+=watched
it ^pp3+it+++=it
because ^cs+cos+++=because
you ^pp2+pp2+++=you
e ^zz++++=e-mailed
- ^zz++++=EXTRAWORD
mailed ^jj+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me
with ^in++++=with
the ^ati++++=the
subject ^nn++++=subject
line ^nn++++=line
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
gonna ^md+prd+++0=gonna
make ^vb++++=make
you ^pp2+pp2+++=you
mad ^jj++++=mad.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
we ^pp1a+pp1+++=we
re ^in++++=re
not ^xnot++not++=not
making ^vbg+++xvbg+=making
a ^at++++=a
fuss ^nn++++=fuss,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
bachelorette ^nn+nom+++=bachelorette
parties ^nns++++=parties,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
cookies ^nns+++??+=cookies
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
male ^jj+atrb+++=male
genitals ^nns+nom+++=genitals.
. ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
The ^ati++++=The
veins ^nns++++=veins
are ^vb+ber+vrb++=are
gummy ^nn+++??+=gummy
worms ^nns++++=worms.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
extra ^jj+atrb+++=extra
dough ^nn+++??+=dough.
. ^zz++++=EXTRAWORD
Boy ^nn++++=Boy,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^jj+atrb+++=long
night ^nn++++=night
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
Penny ^nn++++=Penny,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
s ^zz++++=s
married ^vbd+++xvbn+=married
life ^nn++++=life?
? ^zz++++=EXTRAWORD
Fine ^jj++++=Fine,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
been ^vprf+ben+aux+xvbn+=been
focusing ^vbg+++xvbgx+=focusing
on ^rp++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
about ^in++++=about
changing ^xvbg+++xvbg+=changing
my ^pp$+pp1+++=my
wardrobe ^nn++++=wardrobe.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
decided ^vbd+vprv+tht0+xvbnx+=decided
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go
changing ^vbg+++xvbg+=changing
who ^whp+who+++=who
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
just ^rb+emph+++=just
because ^cs+cos+++=because
of ^in"++++=of
some ^dti++++=some
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Actually ^rb+cnj+++=Actually,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
making ^xvbg+++xvbg+=making
one ^cd1++++=one
small ^jj+atrb+++=small
change ^nn++++=change.
. ^zz++++=EXTRAWORD
Piercing ^jj+++xvbg+=Piercing
my ^pp$+pp1+++=my
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mom ^vb+++??+=mom
said ^vbd+vpub++xvbn+=said
pierced ^xvbn+++xvbn+=pierced
ears ^nns++++=ears
were ^vbd+bed+vrb++=were
for ^in++++=for
whores ^nns++++=whores,
, ^zz++++=EXTRAWORD
pirates ^nns+nom+++=pirates
and ^cc++++=and
genies ^nns+++??+=genies.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Sheldon ^np++++=Sheldon
had ^vb+hv+vrb++=had
this ^dt+dem+++=this
clause ^nn++++=clause
in ^in++++=in
the ^ati++++=the
Relationship ^nn+nom+++=Relationship
Agreement ^nn+nom+++=Agreement
forbidding ^vwbg+++xvbg+=forbidding
cosmetic ^nn++++=cosmetic
surgery ^nn+nom+++=surgery
unless ^cs+cnd+++=unless
it ^pp3+it+++=it
s ^zz++++=s
to ^to++++=to
look ^vbi++++=look
like ^in++++=like
a ^at++++=a
Klingon ^np+++??+=Klingon.
. ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
a ^at++++=a
piercing ^jj+atrb++xvbg+=piercing
gun ^nn++++=gun?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
right ^nn++++=right.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
probably ^rb++splt++=probably
let ^vb+++xvbn+=let
all ^abn++++=all
of ^in++++=of
my ^pp$+pp1+++=my
Facebook ^np+++??+=Facebook
friends ^nns++++=friends
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Penny ^nn++++=Penny,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
no ^at++++=no
longer ^rbr++++=longer
in ^in++++=in
a ^at++++=a
relationship ^nn+nom+++=relationship.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
long ^rb++++=long
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
can ^md+pos+++=can
keep ^vb++++=keep
it ^pp3+it+++=it
from ^in++++=from
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
wasn ^nn+++??+=wasn
t ^zz++++=t
so ^ql+emph+++=so
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Nice ^jj++++=Nice.
. ^zz++++=EXTRAWORD
Boy ^nn++++=Boy,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
mom ^nn+++??+=mom
could ^md+pos+++=could
see ^vb+vprv+++=see
me ^pp1o+pp1+++=me
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
d ^zz++++=d
lock ^nn++++=lock
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
sin ^nn++++=sin
closet ^nn++++=closet.
. ^zz++++=EXTRAWORD
Actually ^rb+cnj+++=Actually,
, ^zz++++=EXTRAWORD
the ^ati++++=the
joke ^nn++++=joke
was ^vbd+bedz+vrb++=was
on ^in++++=on
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
still ^rb++splt++=still
see ^vb+vprv+++=see
the ^ati++++=the
Tv ^nn++++=TV
through ^in++++=through
the ^ati++++=the
slats ^nns++++=slats.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
sad ^jj++++=sad
that ^tht+jcmp+++=that
they ^pp3a+pp3+++=they
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
love ^vb++++=love
Leonard ^np++++=Leonard.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
actually ^rb+cnj+++=actually,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
honest ^jj+pred+++=honest,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
haven ^npl++++=haven
t ^zz++++=t
told ^vbd+vpub+tht0+xvbn+=told
her ^pp$+pp3+++=her
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
feeling ^vwbg+++xvbg+=feeling
a ^rb++++=a
little ^rb"++++=little
dizzy ^jj++++=dizzy
from ^in++++=from
all ^abn++++=all
the ^ati++++=the
blood ^nn++++=blood
loss ^nn++++=loss.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
re ^in++++=re
talking ^nn++++=talking
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Easy ^jj++++=Easy
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
never ^rb++++=never
had ^md"++pmd"++=had
to ^md+nec+++=to
watch ^vb++++=watch
60 ^cd++++=60
Minutes ^nns++++=Minutes
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
pig ^nn++++=pig
dying ^xvbg+++xvbg+=dying
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
sad ^jj++++=sad.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
a ^rb++++=a
little ^rb"++++=little
hungry ^jj++++=hungry.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
Fine ^jj++++=Fine.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi,
, ^zz++++=EXTRAWORD
Mom ^np+++??+=Mom.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
saw ^vbd+vprv+tht0+xvbn+=saw
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
huh ^uh++++=huh?
? ^zz++++=EXTRAWORD
Hi ^uh++++=Hi,
, ^zz++++=EXTRAWORD
Mom ^np+++??+=Mom.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
good ^jj++++=good.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
s ^zz++++=s
work ^nn++++=work?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
nice ^jj++++=nice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
listen ^vb++++=listen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
been ^vprf+ben+aux+xvbn+=been
meaning ^vbg+++xvbgx+=meaning
to ^to+vcmp+++=to
ask ^vbi++++=ask,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
come ^vprf+++xvbn+=come
